task_id,seed,alpha
18,6,1.0
18,6,1.1
18,6,1.2
18,6,1.3
18,6,1.4
18,6,1.5
18,6,1.6
18,6,1.7
18,6,1.8
18,6,1.9
16,5,2.0
16,5,2.1
16,5,2.2
16,5,2.3
16,5,2.4
16,5,2.5
16,5,2.6
16,5,2.7
7,2,2.0
7,2,2.1
7,2,2.2
7,2,2.3
7,2,2.4
7,2,2.5
7,2,2.6
7,2,2.7
0,0,1.0
0,0,1.1
0,0,1.2
0,0,1.3
0,0,1.4
0,0,1.5
0,0,1.6
0,0,1.7
0,0,1.8
0,0,1.9
22,7,2.0
22,7,2.1
22,7,2.2
22,7,2.3
22,7,2.4
22,7,2.5
22,7,2.6
22,7,2.7
25,8,2.0
25,8,2.1
25,8,2.2
25,8,2.3
25,8,2.4
25,8,2.5
25,8,2.6
25,8,2.7
3,1,1.0
3,1,1.1
3,1,1.2
3,1,1.3
3,1,1.4
3,1,1.5
3,1,1.6
3,1,1.7
3,1,1.8
3,1,1.9
9,3,1.0
9,3,1.1
9,3,1.2
9,3,1.3
9,3,1.4
9,3,1.5
9,3,1.6
9,3,1.7
9,3,1.8
9,3,1.9
6,2,1.0
6,2,1.1
6,2,1.2
6,2,1.3
6,2,1.4
6,2,1.5
6,2,1.6
6,2,1.7
6,2,1.8
6,2,1.9
28,9,2.0
28,9,2.1
28,9,2.2
28,9,2.3
28,9,2.4
28,9,2.5
28,9,2.6
28,9,2.7
12,4,1.0
12,4,1.1
12,4,1.2
12,4,1.3
12,4,1.4
12,4,1.5
12,4,1.6
12,4,1.7
12,4,1.8
12,4,1.9
15,5,1.0
15,5,1.1
15,5,1.2
15,5,1.3
15,5,1.4
15,5,1.5
15,5,1.6
15,5,1.7
15,5,1.8
15,5,1.9
27,9,1.0
27,9,1.1
27,9,1.2
27,9,1.3
27,9,1.4
27,9,1.5
27,9,1.6
27,9,1.7
27,9,1.8
27,9,1.9
21,7,1.0
21,7,1.1
21,7,1.2
21,7,1.3
21,7,1.4
21,7,1.5
21,7,1.6
21,7,1.7
21,7,1.8
21,7,1.9
4,1,2.0
4,1,2.1
4,1,2.2
4,1,2.3
4,1,2.4
4,1,2.5
4,1,2.6
4,1,2.7
13,4,2.0
13,4,2.1
13,4,2.2
13,4,2.3
13,4,2.4
13,4,2.5
13,4,2.6
13,4,2.7
1,0,2.0
1,0,2.1
1,0,2.2
1,0,2.3
1,0,2.4
1,0,2.5
1,0,2.6
1,0,2.7
24,8,1.0
24,8,1.1
24,8,1.2
24,8,1.3
24,8,1.4
24,8,1.5
24,8,1.6
24,8,1.7
24,8,1.8
24,8,1.9
19,6,2.0
19,6,2.1
19,6,2.2
19,6,2.3
19,6,2.4
19,6,2.5
19,6,2.6
19,6,2.7
10,3,2.0
10,3,2.1
10,3,2.2
10,3,2.3
10,3,2.4
10,3,2.5
10,3,2.6
10,3,2.7
